COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
1.00574986E10,,M/S 2/7->A,D,,M/S 1/7->B,C,
9.8951649E9,,M/S 3/7->D,,M/S 2/7->A,,M/S 1/7->B,C,
9.7462835E9,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->B,C,
9.4869862E9,,M/S 5/7->D,,M/S 2/7->A,,M/S 1/7->B,C,
1.05664532E10,,M/S 2/7->A,,M/S 1/7->B,C,,M/S 6/7->D,
1.06639524E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->B,C,
1.02866289E10,,M/S 2/7->A,C,,M/S 1/7->B,D,
1.04546611E10,,M/S 3/7->D,,M/S 2/7->A,C,,M/S 1/7->B,
1.03057797E10,,M/S 2/7->A,C,,M/S 4/7->D,,M/S 1/7->B,
1.00464824E10,,M/S 5/7->D,,M/S 2/7->A,C,,M/S 1/7->B,
1.11259484E10,,M/S 2/7->A,C,,M/S 1/7->B,,M/S 6/7->D,
1.12234476E10,,M/S 2/7->A,C,,M/S 7/7->D,,M/S 1/7->B,
9.9366871E9,,M/S 3/7->C,,M/S 2/7->A,,M/S 1/7->B,D,
1.02670541E10,,M/S 3/7->C,,M/S 2/7->A,D,,M/S 1/7->B,
1.00339251E10,,M/S 3/7->C,D,,M/S 2/7->A,,M/S 1/7->B,
9.955839E9,,M/S 3/7->C,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->B,
9.6965417E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->A,,M/S 1/7->B,
1.07760087E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.08735078E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->B,
9.7766482E9,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->B,D,
1.01070152E10,,M/S 2/7->A,D,,M/S 4/7->C,,M/S 1/7->B,
9.9446804E9,,M/S 3/7->D,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->B,
9.3282601E9,,M/S 2/7->A,,M/S 4/7->C,D,,M/S 1/7->B,
9.5365028E9,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->B,
1.06159688E10,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->B,,M/S 6/7->D,
1.07134679E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->B,
9.6071844E9,,M/S 5/7->C,,M/S 2/7->A,,M/S 1/7->B,D,
9.9375514E9,,M/S 5/7->C,,M/S 2/7->A,D,,M/S 1/7->B,
9.7752177E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->A,,M/S 1/7->B,
9.6263363E9,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->B,
9.36704E9,,M/S 5/7->C,D,,M/S 2/7->A,,M/S 1/7->B,
1.0446506E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.05440051E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->B,
1.06163589E10,,M/S 2/7->A,,M/S 1/7->B,D,,M/S 6/7->C,
1.09467259E10,,M/S 2/7->A,D,,M/S 1/7->B,,M/S 6/7->C,
1.07843912E10,,M/S 3/7->D,,M/S 2/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.06355108E10,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->B,,M/S 6/7->C,
1.03762135E10,,M/S 5/7->D,,M/S 2/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.14556795E10,,M/S 2/7->A,,M/S 1/7->B,,M/S 6/7->C,D,
1.15531786E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->B,,M/S 6/7->C,
1.04549478E10,,M/S 2/7->A,B,,M/S 1/7->C,D,
1.06447299E10,,M/S 3/7->D,,M/S 2/7->A,B,,M/S 1/7->C,
1.04958495E10,,M/S 2/7->A,B,,M/S 4/7->D,,M/S 1/7->C,
1.02365522E10,,M/S 5/7->D,,M/S 2/7->A,B,,M/S 1/7->C,
1.13160182E10,,M/S 2/7->A,B,,M/S 1/7->C,,M/S 6/7->D,
1.14135173E10,,M/S 2/7->A,B,,M/S 7/7->D,,M/S 1/7->C,
1.06654966E10,,M/S 3/7->C,,M/S 2/7->A,B,,M/S 1/7->D,
1.06944973E10,,M/S 3/7->C,D,,M/S 2/7->A,B,
